l1,l2,l3,Actual pose x,Actual pose y,Actual pose z,Actual pose roll,Actual pose pitch,Actual pose yaw,IMU roll,IMU pitch,IMU yaw,Pot 1 distance,Pot 2 distance,Pot 3 distance,Pot 4 distance,Pot 5 distance,Pot 6 distance,Estimated pose x,Estimated pose y,Estimated pose z,Estimated pose roll,Estimated pose pitch,Estimated pose yaw
-70.0,7.7777777777777715,-70.0,11.641399507023593,-20.16349541737216,102.43352750477702,2.497399553819877,12.481862277437715,22.54514149418134,2.407389190692912,12.67725105443801,22.703361773554068,106.14405944540201,155.88274677543015,108.39630019569748,199.4741672943471,133.16608998873764,137.87648508607055,12,-21,103,2,13,22
-70.0,7.7777777777777715,-54.44444444444444,14.69272085332804,-16.965692679593957,108.02896802650197,2.4311715747224287,15.115137579255045,18.17313283086464,2.3923787070033904,15.25065106403353,17.973990403598016,111.92975738737286,152.32024068052854,115.57400722923279,198.22324681483843,147.6904448043452,134.9345151707346,13,-17,109,2,16,17
-70.0,7.7777777777777715,-38.888888888888886,17.96542355317976,-13.33586844582939,113.3752211526487,2.159202313473895,17.76056168490831,13.754687802699072,2.222487562059259,17.764467735812566,13.80837062120691,116.97447052926775,148.9037062700623,123.50072676173927,198.61316801698135,160.6034163176555,133.6930253995948,18,-12,115,1,17,14
-70.0,7.7777777777777715,-23.333333333333336,21.44734822727196,-9.286974204314305,118.43016731869035,1.671406666911259,20.402746560907204,9.268405040802174,1.6929742494884397,20.394365718369222,9.316185093517104,120.92233966685964,145.87151371619584,129.5646495718355,199.50911492041143,171.68852863080986,131.04748808268477,21,-9,119,1,20,10
-70.0,7.7777777777777715,-7.777777777777779,25.124552659190954,-4.835222413684271,123.15302355021224,0.9560958341008711,23.025412735201172,4.69151840628468,0.9376237656551843,23.057703468006398,4.8140274021564275,124.03013407730133,141.81313468726046,137.1267217538062,200.27310770105888,185.80808520301693,130.7128826511297,28,-5,122,0,22,6
-70.0,7.7777777777777715,7.7777777777777715,28.98138618531749,0.0,127.50467060035182,0.0,25.611140267661316,0.0,-0.10381563332523543,25.586315927292805,-0.03886312938698198,126.66438199533326,139.9872982509914,141.73561915477646,200.81714994157372,202.4136443822047,125.07079278292925,28,0,127,-1,26,-1
-70.0,7.7777777777777715,23.33333333333333,33.000578144095954,5.196243456792843,131.44797019885706,-1.2115489263005754,28.141105921270736,-4.831207430920024,-1.1328027795043392,28.18673947146805,-4.895813687410391,128.15989160451105,139.87715815032752,148.94536872383617,202.6181225490058,215.2696089238928,123.54739217526206,32,4,131,0,28,-5
-70.0,7.7777777777777715,38.888888888888886,37.163339824533125,10.72813212583987,134.94806985752732,-2.6942051114612835,30.594821989062925,-9.827752723817888,-2.582790998848383,30.58973580150988,-9.962399789532483,128.92092115493122,139.29729476345082,153.03510824302106,207.50471112950794,233.21592419515943,122.47135007957353,36,13,135,-3,31,-11
-70.0,7.7777777777777715,54.44444444444444,41.44947924366531,16.567523999376903,137.9726927611662,-4.463877215434762,32.949902441689225,-15.015137785864324,-4.5298103208477505,32.86696083649713,-14.999513691099608,129.4127413758416,137.91518681255624,157.18483034867046,211.91222272350157,245.85859509105876,121.21050115938309,41,22,138,-4,33,-15
-70.0,7.7777777777777715,70.0,45.837527977272856,22.683693528570416,140.49241037746333,-6.535572390325608,35.18189643958966,-20.41756885710141,-6.541194674570453,35.02141073697827,-20.522232604982065,129.20357510472502,136.92458343244718,159.71279462277096,218.97826689503358,258.45751164317477,120.08093230337231,48,27,142,-7,35,-19
